question_id,source,generated_question,correct_answer
673,IA_11.pdf_p4,Is the product rule P ( a∧b ) = P ( a|b ) P ( b )?,The product rule is P(a∧b) = P(a|b)P(b)
678,IA_11.pdf_p6,Is joint probability distribution the probabilities of all combinations of?,Joint probability distribution is the probabilities of all combinations of
680,IA_11.pdf_p6,"Is Obs instead of 8 ecuations , we could use?","Obs is instead of 8 ecuations, we could use"
681,IA_11.pdf_p6,Is Full joint probability distribution the joint distribution for all of?,Full joint probability distribution is the joint distribution for all of
685,IA_11.pdf_p7,Is Example joint probability distribution?,Example is joint probability distribution
691,IA_11.pdf_p9,Is marginalization sum the probabilities for each possible value of the?,Marginalization is sum the probabilities for each possible value of the
692,IA_11.pdf_p9,"Is example P ( Cavity ) = P ( Cavity , z )?","Example is P(Cavity)= P(Cavity,z)"
693,IA_11.pdf_p9,Is ▶ ( cid 80 )?,▶ (cid is 80)
697,IA_11.pdf_p10,"Is probabilistic inference the computation of conditional probabilities , given?","Probabilistic inference is the computation of conditional probabilities, given"
698,IA_11.pdf_p10,"Is Inference procedure let ’ s consider the var X , E the list of evidence?","Inference procedure is let’s consider the var X, E the list of evidence"
701,IA_11.pdf_p11,Is conditional probabilities example?,Conditional probabilities is example
702,IA_11.pdf_p11,Is Obs the term 1/P ( toothache ) const - normalization const for the prob . distribution?,Obs is the term 1/P(toothache) const - normalization const for the prob. distribution
707,IA_11.pdf_p13,Can the joint distribution be factored into two distributions ?,The joint distribution can be factored into two distributions.
710,IA_11.pdf_p13,Is example add the var Weather ?,Example is add the var Weather.
713,IA_11.pdf_p14,Is independence example?,Independence is example
714,IA_11.pdf_p14,Is Obs dental problems do not influence the weather and vice versa ?,Obs is dental problems do not influence the weather and vice versa.
722,IA_11.pdf_p18,Is medical diagnosis the doctor knows P ( symptoms|disease ) and identifies?,Medical diagnosis is the doctor knows P(symptoms|disease) and identifies
723,IA_11.pdf_p18,"Is example P ( s|m ) = 0.7 the meningitis causes a stiff neck in 70 % of cases ,?","Example is P(s|m) = 0.7 the meningitis causes a stiff neck in 70% of cases,"
729,IA_11.pdf_p20,"Is example P ( Toothache , Catch|Cavity ) =P ( Toothache|Cavity ) P ( Catch|Cavity )?","Example is P(Toothache,Catch|Cavity)=P(Toothache|Cavity)P(Catch|Cavity)"
730,IA_11.pdf_p20,Is ( cid 81 )?,(cid is 81)
733,IA_11.pdf_p21,Has everyone a different coin ?,Everyone has a different coin.
741,IA_11.pdf_p24,"Is applications systems for medical diagnosis , estimation of?","Applications is systems for medical diagnosis, estimation of"
746,IA_11.pdf_p26,Could any of these explain a patient going into a coma ?,Any of these could explain a patient going into a coma.
747,IA_11.pdf_p26,Is Severe headache also associated with brain tumors ?,Severe headache is also associated with brain tumors.
750,IA_11.pdf_p26,Is bayesian networks example?,Bayesian networks is example
751,IA_11.pdf_p26,Is Obs the conditional probability tables are given next ?,Obs is the conditional probability tables are given next.
759,IA_11.pdf_p28,Is ( cid 89 )?,(cid is 89)
760,IA_11.pdf_p28,Is example the probability of the alarm to start when there was no burglary?,Example is the probability of the alarm to start when there was no burglary
772,IA_11.pdf_p31,"Is ▶ If the graph directeda and acyclic , there is at least one solution ; if there are cycles , topological sorting is not possible ?","▶ If the graph is directeda and acyclic, there is at least one solution; if there are cycles, topological sorting is not possible."
779,IA_11.pdf_p32,Is topological sort Kahn ’ s algorithm?,Topological sort is Kahn’s algorithm
780,IA_11.pdf_p32,Can f not be added to S is ∃ ( AF )?,F cannot be added to S is ∃(AF)
781,IA_11.pdf_p32,"Is Time complexity O ( n+m ) , n?","Time complexity is O(n+m), n"
784,IA_11.pdf_p33,Is bayesian networks advantages?,Bayesian networks is advantages
785,IA_11.pdf_p33,"Is example n=30 vertices , k = 5 parents → 960 vs. 109 ?","Example is n=30 vertices, k = 5 parents → 960 vs. 109."
786,IA_11.pdf_p34,What is Conditional independence ▶ Each variable?,"Conditional independence ▶ Each variable is conditionally independent of all its non-descendants, given the parents."
787,IA_11.pdf_p34,"Is johncalls independent of Burglary , Earthquake , MarryCalls , given Alarm ?","JohnCalls is independent of Burglary, Earthquake, MarryCalls, given Alarm."
789,IA_11.pdf_p34,"Is Markov blanket a node is conditionally independent of other nodes ,?","Markov blanket is a node is conditionally independent of other nodes,"
793,IA_11.pdf_p36,Is for a node compute the sum?,For a node is compute the sum
795,IA_11.pdf_p37,Is inference of marginal probabilities example?,Inference of marginal probabilities is example
797,IA_11.pdf_p38,Is example Fatigue and Anorexia?,Example is Fatigue and Anorexia
801,IA_11.pdf_p39,Is probabilistic inference system compute the posterior probability?,Probabilistic inference system is compute the posterior probability
802,IA_11.pdf_p39,Is example observe the event in which JohnCalls = true and?,Example is observe the event in which JohnCalls = true and
808,IA_11.pdf_p41,Is inference by enumeration example?,Inference by enumeration is example
809,IA_11.pdf_p41,Is query What is the probability of a burglary when John and Mary call ??,Query is What is the probability of a burglary when John and Mary call?
812,IA_11.pdf_p42,Is ( cid 80 ) ( cid:80 )?,(cid is 80) (cid:80)
813,IA_11.pdf_p42,Is ( cid 88 ) ( cid:88 )?,(cid is 88) (cid:88)
820,IA_11.pdf_p43,Is ( cid 88 ) ( cid:88 )?,(cid is 88)(cid:88)
822,IA_11.pdf_p43,"Is Obs to make the computation more efficient , it is recommended that the?","Obs is to make the computation more efficient, it is recommended that the"
832,IA_11.pdf_p46,"Is Obs P ( j|a ) P ( m|a ) and P ( j|¬a ) P ( m|¬a ) are computed twice , for?","Obs is P(j|a)P(m|a) and P(j|¬a)P(m|¬a) are computed twice, for"
833,IA_11.pdf_p46,Is Idea perform computations from right to left ( from bottom to top )?,Idea is perform computations from right to left (from bottom to top)
837,IA_11.pdf_p47,Is variable elimination example?,Variable elimination is example
839,IA_11.pdf_p47,Is ( cid 18 ) ( cid:19 ) ( cid:18 ) ( cid:19 ) ( cid:18 ) ( cid:19 ) ( cid:18 ) ( cid:19 )?,(cid is 18) (cid:19) (cid:18) (cid:19) (cid:18) (cid:19) (cid:18) (cid:19)
852,IA_11.pdf_p50,Is Prior sampling example?,Prior sampling is example
855,IA_11.pdf_p51,Is example estimate P ( Rain|Sprinkler = true )?,Example is estimate P(Rain|Sprinkler = true)
859,IA_11.pdf_p52,Is disadvantage many samples are rejected ( the no . of consistent samples decreases?,Disadvantage is many samples are rejected (the no. of consistent samples decreases
866,IA_5.pdf_p1,Is week 5 Game theory?,Week 5 is Game theory
867,IA_5.pdf_p2,Is what a Game ??,What is a Game?
869,IA_5.pdf_p3,Are these puzzles ( decision problems ) and not games ( interactive decision problems ) !?,These are puzzles (decision problems) and not games (interactive decision problems)!
874,IA_5.pdf_p6,Are ● Many games not zero-sum !?,● Many games are not zero-sum!
878,IA_5.pdf_p6,"Is if the total at most as much as n , each player gets the written amount , otherwise nobody gets anything ?","If the total is at most as much as n, each player gets the written amount, otherwise nobody gets anything."
881,IA_5.pdf_p7,Is ● Symmetrical games all rules and goals?,● Symmetrical games is all rules and goals
886,IA_5.pdf_p8,"Is ● Imperfect information games card games , kriegspiel , others ?","● Imperfect information games is card games, kriegspiel, others."
889,IA_5.pdf_p9,Is the game Tic-Tac-Toe?,The game is Tic-Tac-Toe
895,IA_5.pdf_p14,Should how a strategy look like ??,How should a strategy look like?
900,IA_5.pdf_p16,Should the opponent either be the maximising player ( higher score is better ) or minimising player ( lower score is better ) ?,The opponent should either be the maximising player (higher score is better) or minimising player (lower score is better).
907,IA_5.pdf_p18,Would an exhaustive exploration require 1030 states ?,An exhaustive exploration would require 1030 states.
908,IA_5.pdf_p18,Is ● MINIMAX predictable and assumes predictable opponents ?,● MINIMAX is predictable and assumes predictable opponents.
928,IA_5.pdf_p27,Is if A chooses Deny ( -1+-3 ) /2 = -2 If A chooses Confess : ( 0+-2 ) /2=-1?,If A chooses Deny is (-1+-3)/2 = -2 If A chooses Confess: (0+-2)/2=-1
932,IA_5.pdf_p28,Is strategy The decisions made by a player for all possible states in which he has to make a?,Strategy is The decisions made by a player for all possible states in which he has to make a
933,IA_5.pdf_p29,Is Dominant strategy A strategy dominant if it always provides payoffs at least as good as any other strategy ?,Dominant strategy A strategy is dominant if it always provides payoffs at least as good as any other strategy.
934,IA_5.pdf_p29,Is a strategy strictly dominant is the payoffs are always better than any other strategy ?,A strategy is strictly dominant is the payoffs are always better than any other strategy.
938,IA_5.pdf_p32,Is Pareto optimality A strategy Pareto optimal if no change can be made to it in order to improve the players ’ payoff without diminishing the other players payoffs ?,Pareto optimality A strategy is Pareto optimal if no change can be made to it in order to improve the players’ payoff without diminishing the other players payoffs.
939,IA_5.pdf_p32,"Is ( Deny/Deny ) Pareto optimal , as well as ( Deny/Confess ) and ( Confess/Deny ) ?","(Deny/Deny) is Pareto optimal, as well as (Deny/Confess) and (Confess/Deny)."
940,IA_5.pdf_p32,Is ( Confess/Confess ) not optimal as if either player changes decision to improve outcome the outcome for the other player will decrease ?,(Confess/Confess) is not optimal as if either player changes decision to improve outcome the outcome for the other player will decrease.
945,IA_5.pdf_p33,Is that strategy called Nash optimum or equilibrium ?,That strategy is called Nash optimum or equilibrium.
946,IA_5.pdf_p33,Has no player a reason to change an equilibrium as long as anybody follows one ?,No player has a reason to change an equilibrium as long as anybody follows one.
952,IA_5.pdf_p35,Are no there any equilibria ??,NO Are there any equilibria?
956,IA_5.pdf_p37,Have the money game I n money and I want to give it to a group of m players ?,The money game I have n money and I want to give it to a group of m players.
958,IA_5.pdf_p37,Is what the equilibrium ??,What is the equilibrium?
959,IA_5.pdf_p38,Is no What the equilibrium ??,NO What is the equilibrium?
962,IA_5.pdf_p39,Is what the actual equilibria ??,What is the actual equilibria?
965,IA_5.pdf_p40,Is Equilibria reached when both choices are made with the same frequency ?,Equilibria is reached when both choices are made with the same frequency.
966,IA_5.pdf_p41,Are mixed strategies Strategies which not pure are called mixed ?,Mixed strategies Strategies which are not pure are called mixed.
968,IA_5.pdf_p41,"Are mixed strategies usually non-deterministic , making some random decisions ( stochastic or probabilistic ) ?","Mixed strategies are usually non-deterministic, making some random decisions (stochastic or probabilistic)."
969,IA_5.pdf_p41,Can how we compute the equilibria for the goalkeeper game ??,How can we compute the equilibria for the goalkeeper game?
972,IA_5.pdf_p42,Can how much you cooperate with them ??,How much can you cooperate with them?
973,IA_5.pdf_p42,Is Minimax an equilibria for all two player zero-sum game ?,Minimax is an equilibria for all two player zero-sum game.
974,IA_5.pdf_p42,What is A chess program implementing Minimax?,A chess program implementing Minimax is easy to defeat.
976,IA_5.pdf_p43,Is Parrondo 's paradox There at least one winning strategy which can be built using two losing strategies alternatively ?,Parrondo's paradox There is at least one winning strategy which can be built using two losing strategies alternatively.
979,IA_5.pdf_p43,"Have s1 : If you an even sum , add 3 ?","S1: If you have an even sum, add 3."
981,IA_5.pdf_p43,"Have s2 : If you an odd sum , substract 1 ?","S2: If you have an odd sum, substract 1."
983,IA_5.pdf_p43,Is Game add or substract money . Game ends if sum at or below zero ?,Game is add or substract money. Game ends if sum at or below zero.
986,IA_5.pdf_p44,Have ● Strategies to be unpredictable is many use either random steps or select randomly?,● Strategies have to be unpredictable is many use either random steps or select randomly
992,IA_7.pdf_p3,Is this learning method called reinforcement learning ?,This learning method is called reinforcement learning.
997,IA_7.pdf_p5,Is the goal to make the agent to act in order to maximize his rewards?,The goal is to make the agent to act in order to maximize his rewards
998,IA_7.pdf_p5,"Is training data ( S , A , R ) State , Action , Reward?","Training data is (S,A,R) State, Action, Reward"
1000,IA_7.pdf_p6,Is applications TD-Gammon?,Applications is TD-Gammon
1001,IA_7.pdf_p6,Is input configuration?,input is configuration
1002,IA_7.pdf_p6,Is output an estimation of the value for that configuration?,output is an estimation of the value for that configuration
1004,IA_7.pdf_p7,Is examples robotics?,Examples is robotics
1005,IA_7.pdf_p7,Is AIBO learn to walk ’ 04 ( using Minitaur quadrupedal robot : learn?,AIBO is learn to walk ’04 (using Minitaur quadrupedal robot: learn
1006,IA_7.pdf_p7,Is https //sites.google.com/view/?,https is //sites.google.com/view/
1007,IA_7.pdf_p7,Is https //www.cs.utexas.edu/users/?,https is //www.cs.utexas.edu/users/
1011,IA_7.pdf_p8,Is 2016 won against a 9 dan professional GO player ( prize of 1 000?,2016 is won against a 9 dan professional GO player (prize of 1 000
1012,IA_7.pdf_p8,"Is 2017 won against Ke Jie , the best GO player in the world?","2017 is won against Ke Jie, the best GO player in the world"
1017,IA_7.pdf_p11,"Is Stochastic for the sequence ( up , up , right , right , right ) , the probability of?","Stochastic is for the sequence (up, up, right, right, right), the probability of"
1019,IA_7.pdf_p12,Is first order Markov process the current state s depends only on the?,First order Markov process is the current state s depends only on the
1022,IA_7.pdf_p13,Are mdps non-deterministic search problems ?,MDPs are non-deterministic search problems.
1026,IA_7.pdf_p13,Is Markov Decision Process a sequential decision problem for a stochastic?,Markov Decision Process is a sequential decision problem for a stochastic
1031,IA_7.pdf_p14,"Is states Cool , Warm , Overheated ; Actions : Slow , Fast ; Going faster?","States is Cool, Warm, Overheated; Actions: Slow, Fast; Going faster"
1033,IA_7.pdf_p15,Is example search tree?,Example is search tree
1037,IA_7.pdf_p17,"Is the reward the immediate , short-term gain ; utility is the total , long-term gain ?","The reward is the immediate, short-term gain; utility is the total, long-term gain."
1039,IA_7.pdf_p17,Can stochastic environment : we have a different sequence of states when executing the same policy from the initial state ?,Stochastic environment: we can have a different sequence of states when executing the same policy from the initial state.
1042,IA_7.pdf_p17,Is utility the sum of rewards for a sequence of states ?,Utility is the sum of rewards for a sequence of states.
1043,IA_7.pdf_p17,Is quality of a policy expected utility of possible sequences of states ?,Quality of a policy is expected utility of possible sequences of states.
1044,IA_7.pdf_p17,Is stochastic environment we can have a different sequence of states?,Stochastic environment is we can have a different sequence of states
1046,IA_7.pdf_p18,Is example the optimal policy and the state values?,Example is the optimal policy and the state values
1049,IA_7.pdf_p19,Is the optimal policy not stationary is the optimal action for a given?,The optimal policy is not stationary is the optimal action for a given
1054,IA_7.pdf_p21,Is example 1 γ = 0.5?,Example 1 is γ = 0.5
1055,IA_7.pdf_p21,Is example 2 Quiz?,Example 2 is Quiz
1062,IA_7.pdf_p23,Is ( cid 34 ) ( cid:35 )?,(cid is 34) (cid:35)
1067,IA_7.pdf_p24,Is example Consider γ = 1 and R ( s ) = −0.04 ?,Example is Consider γ = 1 and R(s) = −0.04.
1069,IA_7.pdf_p25,Is Maximum Expected Utility choose the action that maximizes the?,Maximum Expected Utility is choose the action that maximizes the
1075,IA_7.pdf_p27,Is the best action Up ?,The best action is Up.
1082,IA_7.pdf_p31,Is Value iteration pseudocode?,Value iteration is pseudocode
1087,IA_7.pdf_p33,Is example Racing?,Example is Racing
1088,IA_7.pdf_p33,Is Demo https : //courses.grainger.illinois.edu/cs440/fa2018/?,Demo is https://courses.grainger.illinois.edu/cs440/fa2018/
1090,IA_7.pdf_p34,Is Slow per iteration?,Slow is per iteration
1095,IA_7.pdf_p36,"Is 1 . Policy evaluation given a policy π , compute the utilities of the?","1. Policy evaluation is given a policy π, compute the utilities of the"
1097,IA_7.pdf_p36,"Is 2 . Policy improvement compute a new policy π , based on the?","2. Policy improvement is compute a new policy π , based on the"
1100,IA_7.pdf_p38,"Is example π ( 1,1 ) = Up , π ( 1,2 ) = Up?","Example is π (1,1) = Up, π (1,2) = Up"
1105,IA_7.pdf_p40,Is policy iteration pseudocode?,Policy iteration is pseudocode
1106,IA_7.pdf_p40,Is Demo https : //cs.stanford.edu/people/karpathy/reinforcejs/gridworld_dp.html?,Demo is https://cs.stanford.edu/people/karpathy/reinforcejs/gridworld_dp.html
1117,IA_6.pdf_p3,"Can it not learn , the parameters are set analytically ?","It cannot learn, the parameters are set analytically."
1123,IA_6.pdf_p5,Can the neuron activate and produce an electrical signal that is transmitted further along the axon ?,The neuron can activate and produce an electrical signal that is transmitted further along the axon.
1131,IA_6.pdf_p8,Is Goal estimate parameters that minimize the error ( the difference btw?,Goal is estimate parameters that minimize the error (the difference btw
1132,IA_6.pdf_p8,Is Goal obtaining information?,Goal is obtaining information
1135,IA_6.pdf_p9,Is applications Classification?,Applications is Classification
1136,IA_6.pdf_p9,Is Example identify the iris flower species?,Example is identify the iris flower species
1137,IA_6.pdf_p9,Is attributes sepal/petal length and width?,attributes is sepal/petal length and width
1138,IA_6.pdf_p9,"Is classes Iris versicolor , Iris setosa , Iris virginica?","classes is Iris versicolor, Iris setosa, Iris virginica"
1140,IA_6.pdf_p10,Is applications Regression?,Applications is Regression
1148,IA_6.pdf_p12,Is Input an array of real values x?,Input is an array of real values x
1153,IA_6.pdf_p13,Is ( cid 40 )?,(cid is 40)
1154,IA_6.pdf_p13,"Is learning a perceptron identify weights w , ... , w ?","Learning a perceptron is identify weights w ,...,w ."
1158,IA_6.pdf_p14,Is simplified notation a constant input x = 1 ?,Simplified notation is a constant input x = 1.
1159,IA_6.pdf_p14,Is ( cid 80 ) n →− →−?,(cid is 80)n →− →−
1160,IA_6.pdf_p14,Is Perceptron an artificial neuron using the unit step/sign function as the?,Perceptron is an artificial neuron using the unit step/sign function as the
1165,IA_6.pdf_p15,"Is regions the region for which w · x > 0 , and the other region ?","regions is the region for which w · x > 0, and the other region."
1172,IA_6.pdf_p17,Can any boolean function be represented by a network of interconnected units ?,Any boolean function can be represented by a network of interconnected units.
1176,IA_6.pdf_p19,Will the perceptron return the correct output for each training example ?,the perceptron will return the correct output for each training example.
1181,IA_6.pdf_p19,Is learning weights identify the vector of weights s.t . the perceptron?,Learning weights is identify the vector of weights s.t. the perceptron
1193,IA_6.pdf_p24,Is Delta rule use Gradient descent to search in the space of weight?,Delta rule is use Gradient descent to search in the space of weight
1194,IA_6.pdf_p24,Is →− 1 ( cid 88 )?,→− 1 (cid is 88)
1200,IA_6.pdf_p25,"Is gradient descent iteratively modifies the vector of weights . At each step ,?","Gradient descent is iteratively modifies the vector of weights. At each step,"
1207,IA_6.pdf_p27,Is ( cid 88 ) δ?,(cid is 88) δ
1210,IA_6.pdf_p29,Is equation T4.1 replaced with w ← w +η ( t −o ) x ?,Equation T4.1 is replaced with w ← w +η(t −o)x .
1213,IA_6.pdf_p29,"Is stochastic gradient descent update the weights incrementally , by?","Stochastic gradient descent is update the weights incrementally, by"
1216,IA_6.pdf_p32,Can Multi-layer neural networks express nonlinear decision surfaces ?,Multi-layer neural networks Can express nonlinear decision surfaces.
1218,IA_6.pdf_p32,"Is the voice signal represented by two numerical parameters , obtained by the spectral analysis of the sound ?","The voice signal is represented by two numerical parameters, obtained by the spectral analysis of the sound."
1221,IA_6.pdf_p32,Is example Neural network trained to recognize btw 10 vowels ( ” h d ” ) ?,Example is Neural network trained to recognize btw 10 vowels (”h d”).
1224,IA_6.pdf_p34,Is ( cid 40 ) ( cid:40 )?,(cid is 40) (cid:40)
1231,IA_6.pdf_p38,Is →− ( cid 88 ) ( cid:88 )?,→− (cid is 88) (cid:88)
1234,IA_6.pdf_p40,"Is initialization choose the number of inputs , hidden and output units ;?","Initialization is choose the number of inputs, hidden and output units;"
1239,IA_6.pdf_p43,Is →− ( cid 88 )?,→− (cid is 88)
1247,IA_6.pdf_p50,Is of training epochs reached Example : from Artificial Intelligence ?,of training epochs is reached Example: from Artificial Intelligence.
1250,IA_6.pdf_p50,Is example from Artificial Intelligence . A Guide to Intelligent Systems ?,Example is from Artificial Intelligence. A Guide to Intelligent Systems.
1252,IA_6.pdf_p51,Is convergence the algorithm Backpropagation converges to a local?,Convergence is the algorithm Backpropagation converges to a local
1253,IA_6.pdf_p51,"Is batch learning the weights are updated once , after considering all?","batch learning is the weights are updated once, after considering all"
1254,IA_6.pdf_p51,Is advantage the training results no longer depend on the order the?,Advantage is the training results no longer depend on the order the
1259,IA_6.pdf_p53,Is weight decay include a penalty term in the error function?,weight decay is include a penalty term in the error function
1261,IA_6.pdf_p54,"Is dropout during training , we randomly set activation functions to 0?","Dropout is during training, we randomly set activation functions to 0"
1262,IA_6.pdf_p54,Is early stopping stop training?,Early stopping is stop training
1264,IA_6.pdf_p55,Is Cross entropy for models that return a probability?,Cross entropy is for models that return a probability
1265,IA_6.pdf_p55,Is Mean squared error for regression?,Mean squared error is for regression
1268,IA_6.pdf_p56,Is designing neural networks steps?,Designing neural networks is steps
1269,IA_6.pdf_p56,"Is architecture the no . of levels and units per level , topology?","Architecture is the no. of levels and units per level, topology"
1270,IA_6.pdf_p56,Is architectures unidirectional vs. recurrent?,Architectures is unidirectional vs. recurrent
1271,IA_6.pdf_p56,Is training finding the values of weights?,Training is finding the values of weights
1272,IA_6.pdf_p56,Is testing testing the model on test data?,Testing is testing the model on test data
1273,IA_6.pdf_p56,Is https //playground.tensorflow.org/?,https is //playground.tensorflow.org/
1281,IA_2.pdf_p1,Is week 2 models and uninformed search strategies?,Week 2 is models and uninformed search strategies
1285,IA_2.pdf_p4,Is which larger ??,Which is larger?
1287,IA_2.pdf_p4,Should a solution produce the correct answer for all possible instances?,A solution should produce the correct answer for all possible instances
1288,IA_2.pdf_p4,"Is Problem We have two numbers , A and B . Which is?","Problem is We have two numbers, A and B. Which is"
1289,IA_2.pdf_p4,"Is instance A= ? , B= ??","Instance is A=?, B=?"
1293,IA_2.pdf_p5,Is validating a NP solution a P problem ?,Validating a NP solution is a P problem.
1299,IA_2.pdf_p6,Can the rest be solved by a computer ?,The rest can be solved by a computer.
1300,IA_2.pdf_p6,Is solvable NP-hard problems QSAT : is a logical proposition using?,Solvable NP-hard problems is QSAT: is a logical proposition using
1301,IA_2.pdf_p6,Is undecideable NP-hard problems Turing Halting problem : given an?,Undecideable NP-hard problems is Turing Halting problem: given an
1305,IA_2.pdf_p7,"Had “ If I only one hour to save the world , I would spend fifty-five minutes defining the problem , and only five minutes finding the solution. ” A.Einstein?","“If I had only one hour to save the world, I would spend fifty-five minutes defining the problem, and only five minutes finding the solution.” A.Einstein"
1308,IA_2.pdf_p10,Have generalized Hanoi Towers We n towers with m distinct sized pieces placed on one of the towers ?,Generalized Hanoi Towers We have n towers with m distinct sized pieces placed on one of the towers.
1311,IA_2.pdf_p11,Is state all data required to?,State is all data required to
1316,IA_2.pdf_p15,Has there to be at least one initial state ?,There has to be at least one initial state.
1318,IA_2.pdf_p16,Has there to be at least one final state ?,There has to be at least one final state.
1320,IA_2.pdf_p17,Is Problem space all possible states?,Problem space is all possible states
1321,IA_2.pdf_p18,Is what the problem now ??,What is the problem now?
1322,IA_2.pdf_p18,Is how difficult it to solve ??,How difficult is it to solve?
1323,IA_2.pdf_p18,Has Problem space m dimensions Final state How many states are within the space ??,Problem space has m dimensions Final state How many states are within the space?
1324,IA_2.pdf_p18,Can how you move within the problem space ??,How can you move within the problem space?
1330,IA_2.pdf_p20,Is no smaller piece placed atop piece k 2 ?,No smaller piece is placed atop piece k 2.
1336,IA_2.pdf_p23,Has ● to memorise each generated state : very costly ?,● Has to memorise each generated state: very costly.
1339,IA_2.pdf_p23,Is ● Uniform cost if options have different?,● Uniform cost is if options have different
1342,IA_2.pdf_p24,Is ● IDS Explore only up to an increasing?,● IDS is Explore only up to an increasing
1345,IA_2.pdf_p25,"Can ● Backtracking avoid loops WITHOUT storing visited states ● Backtracking can prune invalid branches earlier , if the order and selection of neighbours is optimal?","● Backtracking can avoid loops WITHOUT storing visited states ● Backtracking can prune invalid branches earlier, if the order and selection of neighbours is optimal"
